FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,1,2,10,0,10,7,1,20,2022/12/28/14:05:29,00:00:01.0,00:00:01.4,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,2,3,7,2,2,7,2,20,2022/12/28/14:05:29,00:00:02.1,00:00:03.6,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,3,3,10,2,1,10,4,12,2022/12/28/14:05:29,00:00:04.7,00:00:05.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,4,3,10,2,3,10,0,20,2022/12/28/14:05:29,00:00:05.5,00:00:08.9,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,5,3,10,2,2,10,2,20,2022/12/28/14:05:29,00:00:09.9,00:00:11.6,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,6,2,10,2,10,10,0,20,2022/12/28/14:05:29,00:00:12.6,00:00:13.1,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,7,3,10,2,2,10,2,20,2022/12/28/14:05:29,00:00:14.0,00:00:17.7,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,8,3,7,2,2,7,4,20,2022/12/28/14:05:29,00:00:18.0,00:00:20.0,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,9,2,10,2,10,10,0,20,2022/12/28/14:05:29,00:00:20.9,00:00:25.3,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,10,3,10,2,2,10,0,20,2022/12/28/14:05:29,00:00:27.2,00:00:28.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,11,3,10,2,3,10,0,20,2022/12/28/14:05:29,00:00:29.9,00:00:31.1,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,12,3,7,2,3,7,0,20,2022/12/28/14:05:29,00:00:32.2,00:00:32.8,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,13,2,10,0,10,7,1,20,2022/12/28/14:05:29,00:00:35.7,00:00:37.3,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,14,2,10,2,10,7,1,20,2022/12/28/14:05:29,00:00:38.5,00:00:40.1,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,15,2,10,2,10,10,0,20,2022/12/28/14:05:29,00:00:42.6,00:00:45.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,16,3,7,2,1,7,0,20,2022/12/28/14:05:29,00:00:45.8,00:00:46.6,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,17,3,10,2,3,10,1,20,2022/12/28/14:05:29,00:00:47.1,00:00:49.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,18,2,10,2,10,7,1,20,2022/12/28/14:05:29,00:00:50.2,00:00:50.6,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,19,2,3,2,3,2,1,20,2022/12/28/14:05:29,00:00:54.0,00:00:55.4,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,20,3,10,4,2,10,3,6,2022/12/28/14:05:29,00:00:55.8,00:00:56.5,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,21,2,10,2,10,7,1,20,2022/12/28/14:05:29,00:00:58.2,00:00:58.7,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,22,3,7,2,2,7,0,20,2022/12/28/14:05:29,00:01:01.2,00:01:02.3,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,23,3,7,1,2,7,3,18,2022/12/28/14:05:29,00:01:03.8,00:01:04.1,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,24,3,10,2,3,10,0,20,2022/12/28/14:05:29,00:01:04.7,00:01:08.3,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,25,3,10,2,3,10,0,20,2022/12/28/14:05:29,00:01:08.8,00:01:09.9,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,26,3,7,4,2,7,4,20,2022/12/28/14:05:29,00:01:11.5,00:01:13.9,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,27,3,10,2,2,10,2,20,2022/12/28/14:05:29,00:01:15.0,00:01:18.6,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,28,3,7,2,2,7,4,12,2022/12/28/14:05:29,00:01:20.9,00:01:21.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,29,3,7,2,3,7,1,20,2022/12/28/14:05:29,00:01:22.3,00:01:25.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,30,3,7,1,1,7,3,20,2022/12/28/14:05:29,00:01:26.1,00:01:26.5,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,31,2,3,2,3,2,1,20,2022/12/28/14:05:29,00:01:28.2,00:01:29.8,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,32,3,10,4,2,10,4,20,2022/12/28/14:05:29,00:01:32.0,00:01:34.4,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,33,2,7,2,7,7,1,20,2022/12/28/14:05:29,00:01:34.7,00:01:37.9,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,34,2,10,2,10,10,1,20,2022/12/28/14:05:29,00:01:38.5,00:01:39.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,35,3,10,2,2,10,0,20,2022/12/28/14:05:29,00:01:41.6,00:01:43.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,36,2,10,2,10,7,0,20,2022/12/28/14:05:29,00:01:45.4,00:01:46.0,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,37,3,10,0,2,10,9,20,2022/12/28/14:05:29,00:01:47.2,00:01:48.0,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,38,3,7,2,3,7,1,20,2022/12/28/14:05:29,00:01:48.4,00:01:48.8,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,39,3,10,2,3,10,0,20,2022/12/28/14:05:29,00:01:49.5,00:01:51.4,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,40,3,10,2,3,10,0,20,2022/12/28/14:05:29,00:01:52.0,00:01:52.7,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,41,3,10,2,1,10,2,20,2022/12/28/14:05:29,00:01:53.5,00:01:55.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,42,3,10,2,3,10,0,20,2022/12/28/14:05:29,00:01:55.5,00:01:56.5,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,43,3,7,2,3,7,1,20,2022/12/28/14:05:29,00:01:58.2,00:02:00.3,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,44,3,10,2,3,10,1,20,2022/12/28/14:05:29,00:02:02.5,00:02:03.1,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,45,2,10,2,10,7,1,20,2022/12/28/14:05:29,00:02:04.8,00:02:05.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,46,2,10,2,10,7,1,20,2022/12/28/14:05:29,00:02:06.6,00:02:08.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,47,3,10,2,1,10,4,20,2022/12/28/14:05:29,00:02:09.9,00:02:10.5,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,48,2,10,2,10,10,0,20,2022/12/28/14:05:29,00:02:11.0,00:02:11.8,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,49,3,7,2,3,7,0,20,2022/12/28/14:05:29,00:02:14.3,00:02:15.3,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,50,2,10,2,10,10,1,20,2022/12/28/14:05:29,00:02:17.3,00:02:17.8,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,51,2,10,2,10,10,1,20,2022/12/28/14:05:29,00:02:19.6,00:02:22.4,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,52,2,10,2,10,7,1,20,2022/12/28/14:05:29,00:02:23.0,00:02:23.8,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,53,3,7,2,1,7,4,19,2022/12/28/14:05:29,00:02:24.3,00:02:25.5,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,54,2,10,2,10,10,0,20,2022/12/28/14:05:29,00:02:26.3,00:02:30.7,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,55,3,10,2,3,10,0,20,2022/12/28/14:05:29,00:02:32.3,00:02:32.8,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,56,3,7,2,3,7,1,20,2022/12/28/14:05:29,00:02:33.9,00:02:34.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,57,3,10,2,1,10,4,20,2022/12/28/14:05:29,00:02:34.6,00:02:35.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,58,3,7,2,3,7,1,20,2022/12/28/14:05:29,00:02:35.6,00:02:36.9,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,59,2,10,2,10,7,1,20,2022/12/28/14:05:29,00:02:37.3,00:02:41.5,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,60,3,10,1,2,10,9,20,2022/12/28/14:05:29,00:02:42.3,00:02:42.8,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,61,3,10,2,3,10,0,20,2022/12/28/14:05:29,00:02:43.8,00:02:45.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,62,3,7,2,1,7,3,7,2022/12/28/14:05:29,00:02:46.1,00:02:46.4,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,63,3,7,0,2,7,2,20,2022/12/28/14:05:29,00:02:47.5,00:02:50.8,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,64,3,10,2,2,10,4,20,2022/12/28/14:05:29,00:02:51.4,00:02:52.1,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,65,3,10,2,2,10,0,20,2022/12/28/14:05:29,00:02:52.9,00:02:53.4,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,66,3,10,2,2,10,4,20,2022/12/28/14:05:29,00:02:54.4,00:02:54.9,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,67,3,10,2,2,10,2,20,2022/12/28/14:05:29,00:02:55.6,00:02:58.5,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,68,1,2,2,1,2,2,20,2022/12/28/14:05:29,00:02:59.5,00:03:00.6,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,69,3,10,2,7,10,1,20,2022/12/28/14:05:29,00:03:02.7,00:03:05.5,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,70,3,10,9,1,10,4,20,2022/12/28/14:05:29,00:03:06.5,00:03:07.0,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,71,2,10,2,10,10,0,20,2022/12/28/14:05:29,00:03:07.4,00:03:08.6,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,72,2,10,2,10,10,0,20,2022/12/28/14:05:29,00:03:09.6,00:03:10.1,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,73,2,10,2,10,7,0,20,2022/12/28/14:05:29,00:03:11.7,00:03:13.4,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,74,2,10,2,10,7,1,20,2022/12/28/14:05:29,00:03:15.4,00:03:16.0,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,75,3,10,2,2,10,4,20,2022/12/28/14:05:29,00:03:16.4,00:03:17.1,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,76,2,10,2,10,10,0,20,2022/12/28/14:05:29,00:03:17.4,00:03:18.7,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,77,3,10,4,2,10,4,20,2022/12/28/14:05:29,00:03:19.2,00:03:20.4,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,78,3,10,0,1,10,2,20,2022/12/28/14:05:29,00:03:21.5,00:03:23.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,79,3,10,2,2,10,1,20,2022/12/28/14:05:29,00:03:24.3,00:03:25.1,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,80,1,10,10,1,10,4,20,2022/12/28/14:05:29,00:03:26.2,00:03:26.8,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,81,3,7,2,3,7,1,20,2022/12/28/14:05:29,00:03:28.4,00:03:29.8,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,82,3,7,2,2,7,3,-20,2022/12/28/14:05:29,00:03:30.1,00:03:30.4,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,83,2,10,2,10,10,0,20,2022/12/28/14:05:29,00:03:30.7,00:03:35.8,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,84,3,10,7,2,10,4,20,2022/12/28/14:05:29,00:03:38.5,00:03:41.5,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,85,3,10,2,2,10,2,20,2022/12/28/14:05:29,00:03:42.0,00:03:44.4,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,86,3,10,2,2,10,9,18,2022/12/28/14:05:29,00:03:44.8,00:03:46.0,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,87,2,10,0,10,7,1,20,2022/12/28/14:05:29,00:03:46.4,00:03:46.8,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,88,3,7,4,1,7,3,20,2022/12/28/14:05:29,00:03:48.1,00:03:48.5,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,89,3,7,2,1,7,2,20,2022/12/28/14:05:29,00:03:48.9,00:03:49.3,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,90,3,10,4,2,10,2,20,2022/12/28/14:05:29,00:03:50.9,00:03:52.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,91,3,7,2,2,7,4,20,2022/12/28/14:05:29,00:03:52.7,00:03:57.9,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,92,3,10,4,2,10,2,20,2022/12/28/14:05:29,00:03:59.5,00:04:00.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,93,3,10,2,1,10,2,20,2022/12/28/14:05:29,00:04:01.5,00:04:02.0,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,94,3,10,2,2,10,2,20,2022/12/28/14:05:29,00:04:03.4,00:04:05.2,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,95,3,7,2,1,7,0,20,2022/12/28/14:05:29,00:04:05.9,00:04:07.3,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,96,4,10,2,1,7,10,-20,2022/12/28/14:05:29,00:04:11.1,00:04:11.4,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,97,2,10,2,10,10,1,20,2022/12/28/14:05:29,00:04:13.6,00:04:15.3,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,98,2,10,2,10,10,0,20,2022/12/28/14:05:29,00:04:16.3,00:04:18.3,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,99,3,10,2,2,10,2,20,2022/12/28/14:05:29,00:04:21.2,00:04:21.9,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,100,3,10,2,2,10,0,20,2022/12/28/14:05:29,00:04:24.6,00:04:25.4,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,101,3,7,2,1,7,2,20,2022/12/28/14:05:29,00:04:25.8,00:04:26.1,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,102,3,7,2,2,7,2,20,2022/12/28/14:05:29,00:04:26.9,00:04:27.7,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,103,3,7,2,1,7,2,20,2022/12/28/14:05:29,00:04:28.0,00:04:29.1,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,104,3,7,2,1,7,2,20,2022/12/28/14:05:29,00:04:29.9,00:04:30.3,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,105,3,10,2,1,10,2,20,2022/12/28/14:05:29,00:04:31.3,00:04:31.8,2,OK
C:\Users\timot\Music\EVGB-input-converted\0988_wav_channel2.wav,106,2,3,2,3,2,1,20,2022/12/28/14:05:29,00:04:34.8,00:04:37.9,2,OK
